network,version,instance,subset,n,bp,bp_avg
friendships,empirical,,all,800,1.2185722735227503e-09,1.570089043571344e-06
interactions,empirical,,all,5604,3.1042554728893057e-06,0.033003337462793374
friendships,rewired,0,all,800,5.354822279592603e-07,1.250363387702989e-06
friendships,rewired,1,all,800,7.543228552287013e-07,1.557897946899469e-06
friendships,rewired,2,all,800,6.185568885073004e-07,1.2904793282413751e-06
friendships,rewired,3,all,800,5.735743205531926e-07,1.2321647192442935e-06
friendships,rewired,4,all,800,6.088256636257237e-07,1.3162868384638756e-06
friendships,rewired,5,all,800,6.649262435955425e-07,1.3678365769171363e-06
friendships,rewired,6,all,800,6.027910150041422e-07,1.2986635605333126e-06
friendships,rewired,7,all,800,6.313245290098363e-07,1.2861116199537756e-06
friendships,rewired,8,all,800,7.159261345681464e-07,1.4713036543713375e-06
friendships,rewired,9,all,800,8.159264899309507e-07,2.1616112045610155e-06
friendships,rewired,10,all,800,4.951188892481638e-07,1.1993190217633374e-06
friendships,rewired,11,all,800,7.935354627836374e-07,0.0025015436905379993
friendships,rewired,12,all,800,6.218648675402392e-07,1.2907756281385317e-06
friendships,rewired,13,all,800,5.404889716521146e-07,1.2673706781617262e-06
friendships,rewired,14,all,800,7.771733892461186e-07,2.3551216639305657e-06
friendships,rewired,15,all,800,7.319836504624111e-07,1.4981573530839525e-06
friendships,rewired,16,all,800,6.785385424987654e-07,1.4472737142324778e-06
friendships,rewired,17,all,800,6.957350370512782e-07,2.2721434438980027e-06
friendships,rewired,18,all,800,8.082622470359434e-07,1.6539232151192089e-06
friendships,rewired,19,all,800,7.469703071909955e-07,1.5897542901889678e-06
friendships,rewired,20,all,800,5.558254798364359e-07,1.2122802542735658e-06
friendships,rewired,21,all,800,6.755296735442431e-07,1.6048627195009309e-06
friendships,rewired,22,all,800,6.956505353924586e-07,1.565082647409445e-06
friendships,rewired,23,all,800,7.570005863492256e-07,1.7525368313560353e-06
friendships,rewired,24,all,800,5.388200504198281e-07,1.1442348421499398e-06
interactions,rewired,0,all,5604,2.866899731595167e-14,0.016238401142233974
interactions,rewired,1,all,5604,5.199530595823037e-14,0.015346181300283706
interactions,rewired,2,all,5604,6.309166146611526e-14,0.015881513205817044
interactions,rewired,3,all,5604,2.827864699351716e-14,0.01070663811591246
interactions,rewired,4,all,5604,2.5860065255726287e-14,0.011063526054582478
interactions,rewired,5,all,5604,2.8276117506732794e-14,0.013561741613458082
interactions,rewired,6,all,5604,3.221447964147052e-14,0.0162384011424128
interactions,rewired,7,all,5604,2.928462805894741e-14,0.011241970021692207
interactions,rewired,8,all,5604,3.842533036712679e-14,0.013918629555818386
interactions,rewired,9,all,5604,3.4948288024968146e-14,0.015881513218808634
interactions,rewired,10,all,5604,2.657735468167211e-14,0.014632405425861934
interactions,rewired,11,all,5604,9.186453102747789e-14,0.01873661670296168
interactions,rewired,12,all,5604,2.5012014594385786e-14,0.014097073519284038
interactions,rewired,13,all,5604,3.27926852232728e-14,0.014989293362442304
interactions,rewired,14,all,5604,1.4239562432572797e-14,0.011777301927294245
interactions,rewired,15,all,5604,3.0750229825873146e-14,0.009635974304788261
interactions,rewired,16,all,5604,2.16430918049355e-14,0.01552462544108178
interactions,rewired,17,all,5604,3.087175710214932e-14,0.014989293362093717
interactions,rewired,18,all,5604,3.436286035380073e-14,0.013740185584669405
interactions,rewired,19,all,5604,2.7209657344590334e-14,0.014097073519104308
interactions,rewired,20,all,5604,4.1090764198557615e-14,0.010349750179411496
interactions,rewired,21,all,5604,2.1528995216510015e-14,0.014632405424989196
interactions,rewired,22,all,5604,7.504832352755701e-14,0.0146324054254261
interactions,rewired,23,all,5604,3.19443026601481e-14,0.01945039257691585
interactions,rewired,24,all,5604,2.934394209705751e-14,0.014632405425403118
